04/10/14 09:01 AM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	    13452	  106446	                   656891	                          742952	
Pendientes:       	     6055	   39748	                   293910	                          322718	
Únicos:           	     7872	   81836	                   480334	                          551705	
Pendientes únicos:	     3519	   28289	                   199330	                          222754	


Estadísticas por archivo individual:

Nombre de archivo                                                                                          	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone_3_theming/elements/visibleelements/plone.abovecontenttitle.documentactions.rst                       	             62	                  41	              23	                         20	              304	                239	            108	                        92	                              2555	                                2072	                            1147	                                       1011	                                     2732	                                       2208	                                   1208	                                              1059	
plone_3_theming/elements/visibleelements/plone.app.i18n.locales.languageselector.rst                       	             54	                  35	              16	                         15	              268	                208	             84	                        74	                              2183	                                1736	                             778	                                        730	                                     2341	                                       1856	                                    823	                                               766	
plone_3_theming/elements/visibleelements/plone.belowcontentbody.contenthistory.rst                         	             55	                  37	              12	                         12	              278	                228	             63	                        63	                              2319	                                1913	                             632	                                        632	                                     2481	                                       2046	                                    668	                                               668	
plone_3_theming/elements/visibleelements/plone.belowcontentbody.relateditems.rst                           	             59	                  38	              13	                         11	              279	                221	             61	                        54	                              2302	                                1840	                             592	                                        542	                                     2466	                                       1970	                                    630	                                               575	
plone_3_theming/elements/visibleelements/plone.belowcontentbody.workflowhistory.rst                        	             55	                  36	              10	                          9	              267	                209	             38	                        30	                              2264	                                1805	                             487	                                        434	                                     2416	                                       1921	                                    506	                                               446	
plone_3_theming/elements/visibleelements/plone.belowcontenttitle.documentbyline.rst                        	             59	                  39	              19	                         17	              293	                233	             95	                        84	                              2400	                                1946	                             976	                                        869	                                     2578	                                       2087	                                   1038	                                               922	
plone_3_theming/elements/visibleelements/plone.belowcontenttitle.keywords.rst                              	             53	                  34	              11	                          9	              250	                189	             54	                        40	                              1958	                                1532	                             420	                                        337	                                     2103	                                       1641	                                    457	                                               364	
plone_3_theming/elements/visibleelements/plone.colophon.rst                                                	             50	                  31	               9	                          7	              227	                158	             32	                        16	                              1750	                                1268	                             243	                                        152	                                     1875	                                       1351	                                    260	                                               157	
plone_3_theming/elements/visibleelements/plone.comments.rst                                                	             61	                  39	              21	                         17	              294	                221	             96	                        72	                              2296	                                1768	                             872	                                        691	                                     2480	                                       1906	                                    940	                                               741	
plone_3_theming/elements/visibleelements/plone.contentactions.rst                                          	             54	                  35	              17	                         14	              283	                223	             89	                        76	                              2285	                                1830	                             891	                                        769	                                     2458	                                       1965	                                    948	                                               816	
